experiment,threshold,val_loss,iou_water,f1_water,precision,recall,true_water_frac,pred_water_frac,tp,fp,fn,tn,checkpoint_epoch,base_channels,class_weight_0,class_weight_1
colab_full_weighted_ce_threshold_sweep,0.05,0.2695630668945935,0.3121014609586283,0.47572763272530055,0.3173265353349104,0.949885703687644,0.11025550216436386,0.33003896474838257,2125469,4572581,112136,13484539,54,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.1,0.2695630668945935,0.397739867023717,0.5691185840905375,0.41359318527014743,0.9120997673852137,0.11025550216436386,0.24314717948436737,2040919,2893686,196686,15163434,54,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.15,0.2695630668945935,0.4516898189451698,0.622295221817258,0.4826512277998125,0.875642036909996,0.11025550216436386,0.20002922415733337,1959341,2100197,278264,15956923,54,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.2,0.2695630668945935,0.48801967861611156,0.6559317536310807,0.5373054498433486,0.8417799388185099,0.11025550216436386,0.17273390293121338,1883571,1622016,354034,16435104,54,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.25,0.2695630668945935,0.5133215463688757,0.6784038033431296,0.5838402031368484,0.8095204470851611,0.11025550216436386,0.1528741717338562,1811387,1291152,426218,16765968,54,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.3,0.2695630668945935,0.5308031362396162,0.6934962748293321,0.624781365868025,0.7791938255411444,0.11025550216436386,0.13750475645065308,1743528,1047093,494077,17010027,54,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.35,0.2695630668945935,0.5420829106748114,0.7030528733861623,0.6611475678924701,0.7506298028472375,0.11025550216436386,0.12517790496349335,1679613,860838,557992,17196282,54,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.39999999999999997,0.2695630668945935,0.5474249956954446,0.7075302482747095,0.6938138944662499,0.7217998708440466,0.11025550216436386,0.11470281332731247,1615103,712759,622502,17344361,54,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.44999999999999996,0.2695630668945935,0.5483553640835364,0.7083068613361959,0.7239741274308001,0.6933033310168655,0.11025550216436386,0.10558458417654037,1551339,591471,686266,17465649,54,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.49999999999999994,0.2695630668945935,0.5459430222623127,0.7062912596395523,0.7525942409065044,0.6653555922515338,0.11025550216436386,0.09747499227523804,1488803,489425,748802,17567695,54,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.5499999999999999,0.2695630668945935,0.5421092708207035,0.7030750428368743,0.7806548576977378,0.6395208269556037,0.11025550216436386,0.09032248705625534,1430995,402075,806610,17655045,54,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.6,0.2695630668945935,0.5369858183552798,0.6987518192326659,0.8084466184752115,0.6152685572297139,0.11025550216436386,0.08390998840332031,1376728,326202,860877,17730918,54,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.65,0.2695630668945935,0.5291517051246927,0.6920852958556439,0.8371081990044271,0.5898909771831911,0.11025550216436386,0.07769452780485153,1319943,256846,917662,17800274,54,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.7,0.2695630668945935,0.5152083257876815,0.6800494915705406,0.8669850328639738,0.5594280491865162,0.11025550216436386,0.07114312052726746,1251779,192051,985826,17865069,54,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.75,0.2695630668945935,0.48641864858528094,0.6544840500329251,0.9016718939502032,0.5136657274183759,0.11025550216436386,0.0628105103969574,1149381,125341,1088224,17931779,54,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.7999999999999999,0.2695630668945935,0.4205296003611747,0.5920743928943875,0.9481327474050529,0.4304316445485221,0.11025550216436386,0.05005360022187233,963136,52688,1274469,18004432,54,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.85,0.2695630668945935,0.012212029525767101,0.02412939022565969,0.9561796181013652,0.01221886794139264,0.11025550216436386,0.001408937619999051,27341,1253,2210264,18055867,54,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.9,0.2695630668945935,0.0,0.0,0.0,0.0,0.11025550216436386,0.0,0,0,2237605,18057120,54,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.95,0.2695630668945935,0.0,0.0,0.0,0.0,0.11025550216436386,0.0,0,0,2237605,18057120,54,32,0.4806916415691376,1.51930832862854
