experiment,threshold,val_loss,iou_water,f1_water,precision,recall,true_water_frac,pred_water_frac,tp,fp,fn,tn,checkpoint_epoch,base_channels,class_weight_0,class_weight_1
colab_full_weighted_ce_threshold_sweep,0.05,0.2783679003300874,0.2226437338317068,0.3642005069358218,0.22428230352330714,0.9682285300578031,0.11025550216436386,0.475973904132843,2166513,7493246,71092,10563874,20,32,1.0,3.0
colab_full_weighted_ce_threshold_sweep,0.1,0.2783679003300874,0.3008381300467164,0.4625296923544401,0.3079287073231938,0.9289003197615266,0.11025550216436386,0.33259767293930054,2078512,4671466,159093,13385654,20,32,1.0,3.0
colab_full_weighted_ce_threshold_sweep,0.15,0.2783679003300874,0.35752386094063615,0.5267293949336637,0.37338773501472144,0.8937868837439992,0.11025550216436386,0.2639211416244507,1999942,3356265,237663,14700855,20,32,1.0,3.0
colab_full_weighted_ce_threshold_sweep,0.2,0.2783679003300874,0.40324339746805066,0.5747305110369946,0.43118855032160575,0.8615336487002807,0.11025550216436386,0.22029533982276917,1927772,2543061,309833,15514059,20,32,1.0,3.0
colab_full_weighted_ce_threshold_sweep,0.25,0.2783679003300874,0.44163943091053826,0.6126905541583295,0.4853971137191708,0.8304808042527577,0.11025550216436386,0.18863952159881592,1858288,1970099,379317,16087021,20,32,1.0,3.0
colab_full_weighted_ce_threshold_sweep,0.3,0.2783679003300874,0.473077728227988,0.6422983922200334,0.5361347273089525,0.8008875561146817,0.11025550216436386,0.16470162570476532,1792070,1550504,445535,16506616,20,32,1.0,3.0
colab_full_weighted_ce_threshold_sweep,0.35,0.2783679003300874,0.49741785665270416,0.6643674702325526,0.5827198261304501,0.7726234076166224,0.11025550216436386,0.14618685841560364,1728826,1237996,508779,16819124,20,32,1.0,3.0
colab_full_weighted_ce_threshold_sweep,0.39999999999999997,0.2783679003300874,0.5156085042419807,0.6803980088510496,0.6273879246729431,0.7431928334089317,0.11025550216436386,0.1306067556142807,1662972,987656,574633,17069464,20,32,1.0,3.0
colab_full_weighted_ce_threshold_sweep,0.44999999999999996,0.2783679003300874,0.527797465267456,0.6909259601043517,0.6711774535936404,0.7118718451201141,0.11025550216436386,0.116940438747406,1592888,780386,644717,17276734,20,32,1.0,3.0
colab_full_weighted_ce_threshold_sweep,0.49999999999999994,0.2783679003300874,0.5343631313835939,0.6965275956568876,0.7143982070955008,0.6795292287959641,0.11025550216436386,0.10487405210733414,1520518,607872,717087,17449248,20,32,1.0,3.0
colab_full_weighted_ce_threshold_sweep,0.5499999999999999,0.2783679003300874,0.536163354467471,0.6980551292389582,0.7570151898482856,0.6476156426178855,0.11025550216436386,0.09432200342416763,1449108,465131,788497,17591989,20,32,1.0,3.0
colab_full_weighted_ce_threshold_sweep,0.6,0.2783679003300874,0.5318263816315993,0.6943690068389256,0.7992238900807659,0.6138362222107986,0.11025550216436386,0.08468067646026611,1373523,345048,864082,17712072,20,32,1.0,3.0
colab_full_weighted_ce_threshold_sweep,0.65,0.2783679003300874,0.5168504868581959,0.6814784862926495,0.8418465866146075,0.572432578582902,0.11025550216436386,0.07497071474790573,1280878,240632,956727,17816488,20,32,1.0,3.0
colab_full_weighted_ce_threshold_sweep,0.7,0.2783679003300874,0.4841578044711861,0.6524344015341338,0.8854606481428209,0.5165058176040879,0.11025550216436386,0.064314104616642,1155736,149501,1081869,17907619,20,32,1.0,3.0
colab_full_weighted_ce_threshold_sweep,0.75,0.2783679003300874,0.4034234755337601,0.5749133922393983,0.9344190897871275,0.4151787290428811,0.11025550216436386,0.04898844659328461,929006,65201,1308599,17991919,20,32,1.0,3.0
colab_full_weighted_ce_threshold_sweep,0.7999999999999999,0.2783679003300874,0.12470652794103379,0.2217583428973783,0.9739179134330407,0.12512440756970009,0.11025550216436386,0.01416510995477438,279979,7498,1957626,18049622,20,32,1.0,3.0
colab_full_weighted_ce_threshold_sweep,0.85,0.2783679003300874,0.008795724854067436,0.017438069249034193,0.9963047329784883,0.008796011807267107,0.11025550216436386,0.0009734057239256799,19682,73,2217923,18057047,20,32,1.0,3.0
colab_full_weighted_ce_threshold_sweep,0.9,0.2783679003300874,0.00011664257096314982,0.0002332579341211662,0.9999999999616858,0.00011664257096314982,0.11025550216436386,1.2860485185228754e-05,261,0,2237344,18057120,20,32,1.0,3.0
colab_full_weighted_ce_threshold_sweep,0.95,0.2783679003300874,0.0,0.0,0.0,0.0,0.11025550216436386,0.0,0,0,2237605,18057120,20,32,1.0,3.0
